Epoch	train_cost	val_cost	epoch_time	learing_rate
223	0.147107	0.138959	42.0714s	0.00025
224	0.146966	0.139325	41.1442s	0.00025
225	0.146983	0.138767	42.173s	0.00025
226	0.147215	0.138538	41.8055s	0.00025
227	0.146665	0.13829	42.0956s	0.00025
228	0.146985	0.13945	41.7567s	0.00025
229	0.146988	0.138686	41.8203s	0.00025
230	0.147099	0.13899	41.5811s	0.00025
231	0.146651	0.13905	42.9901s	0.00025
232	0.147028	0.138558	42.5854s	0.00025
233	0.146752	0.13902	41.6579s	0.00025
234	0.147096	0.139086	41.9856s	0.00025
235	0.146765	0.139123	42.9041s	0.00025
236	0.1474	0.139235	41.7775s	0.00025
237	0.14711	0.139678	42.9818s	0.00025
238	0.146672	0.138791	41.8132s	0.00025
239	0.146905	0.139366	42.2046s	0.00025
240	0.146365	0.139515	41.6774s	0.00025
241	0.146448	0.139351	41.7558s	0.00025
242	0.147084	0.13867	41.8372s	0.00025
243	0.146916	0.13896	41.6435s	0.00025
244	0.146895	0.138696	41.5436s	0.00025
245	0.14658	0.138724	42.4722s	0.00025
246	0.146709	0.139137	42.6313s	0.00025
247	0.146636	0.139893	41.6427s	0.00025
248	0.146869	0.13837	42.0353s	0.00025
249	0.146851	0.139512	41.59s	0.00025
250	0.146506	0.138487	41.6281s	0.00025
251	0.146749	0.138866	43.1564s	0.00025
252	0.146578	0.138883	41.7001s	0.00025
253	0.146805	0.140187	42.6744s	0.00025
254	0.146944	0.13866	43.1841s	0.00025
255	0.146943	0.139463	41.7953s	0.00025
256	0.146852	0.138312	41.295s	0.00025
257	0.146718	0.13899	41.5094s	0.00025
258	0.146464	0.139251	42.615s	0.00025
259	0.146851	0.138348	42.2597s	0.00025
260	0.147192	0.139584	42.2747s	0.00025
261	0.146697	0.138601	42.1456s	0.00025
262	0.146305	0.138819	42.106s	0.00025
263	0.14679	0.138796	41.9023s	0.00025
264	0.14646	0.139147	41.4613s	0.00025
265	0.146283	0.138426	41.5621s	0.00025
266	0.146943	0.137951	42.1117s	0.00025
267	0.146452	0.138576	42.5064s	0.00025
268	0.146376	0.139367	42.2418s	0.00025
269	0.146136	0.138479	41.783s	0.00025
270	0.146544	0.139508	41.3912s	0.00025
