Epoch	train_cost	val_cost	epoch_time	learing_rate
226	0.109419	0.107059	1640.88s	0.00025
227	0.109434	0.107433	1640.53s	0.00025
228	0.109374	0.107205	1638.35s	0.00025
229	0.10941	0.107489	1638.28s	0.00025
230	0.109384	0.107684	1642.21s	0.00025
231	0.10938	0.107939	1643.54s	0.00025
232	0.109421	0.108344	1642.66s	0.00025
233	0.109442	0.108126	1641.6s	0.00025
234	0.109332	0.107029	1640.95s	0.00025
235	0.109371	0.107532	1644.42s	0.00025
236	0.109372	0.107208	1642.98s	0.00025
237	0.109378	0.107466	1643.05s	0.00025
238	0.10936	0.107857	1640.27s	0.00025
239	0.109403	0.107441	1639.14s	0.00025
240	0.109344	0.107418	1638.88s	0.00025
241	0.109444	0.107999	1640.76s	0.00025
242	0.109417	0.107544	1642.79s	0.00025
243	0.109402	0.107376	1640.72s	0.00025
244	0.10938	0.107659	1643.76s	0.00025
245	0.109288	0.107197	1641.83s	0.00025
246	0.109423	0.107172	1642.35s	0.00025
247	0.109387	0.107293	1642.33s	0.00025
248	0.109399	0.107681	1638.95s	0.00025
249	0.109348	0.107361	1639.04s	0.00025
250	0.109369	0.108149	1642.16s	0.00025
251	0.109403	0.107569	1643.15s	0.00025
252	0.109496	0.107494	1642.48s	0.00025
253	0.109341	0.107446	1646.52s	0.00025
254	0.109343	0.107442	1639.54s	0.00025
255	0.109408	0.107517	1639.31s	0.00025
256	0.109384	0.10763	1638.51s	0.00025
257	0.109377	0.107835	1642.42s	0.00025
258	0.109321	0.10779	1639.01s	0.00025
259	0.109357	0.107316	1639.52s	0.00025
260	0.10937	0.107695	1642.4s	0.00025
261	0.10933	0.10747	1642.71s	0.00025
262	0.10933	0.107311	1640.8s	0.00025
263	0.109373	0.107607	1642.95s	0.00025
264	0.109381	0.106985	1642.31s	0.00025
265	0.109282	0.107098	2195.17s	0.00025
266	0.109347	0.107296	1642.46s	0.00025
267	0.109309	0.107321	1640.5s	0.00025
268	0.109295	0.107517	1636.99s	0.00025
269	0.109333	0.107245	1636.46s	0.00025
270	0.109422	0.107387	1640.78s	0.00025
271	0.108505	0.105985	1640.2s	0.000125
272	0.108136	0.106143	1640.55s	0.000125
273	0.108023	0.10581	1642.08s	0.000125
274	0.107923	0.105718	1641.86s	0.000125
275	0.107796	0.105599	1642.16s	0.000125
276	0.107794	0.105627	1643.08s	0.000125
277	0.107701	0.105611	1642.33s	0.000125
278	0.107703	0.105531	1641.27s	0.000125
279	0.107743	0.105708	1639.6s	0.000125
280	0.107583	0.105795	1639.37s	0.000125
281	0.1076	0.105498	1641.17s	0.000125
282	0.107487	0.105543	1639.79s	0.000125
283	0.107605	0.105492	1640.1s	0.000125
284	0.107523	0.105536	1638.02s	0.000125
285	0.107504	0.105517	1640.36s	0.000125
286	0.107546	0.10547	1638.05s	0.000125
287	0.107462	0.105599	1778.49s	0.000125
288	0.107539	0.105876	1679.99s	0.000125
289	0.107521	0.105414	1640.25s	0.000125
290	0.107531	0.105666	1640.99s	0.000125
291	0.107365	0.105282	1641.29s	0.000125
292	0.107498	0.105792	1643.08s	0.000125
293	0.107479	0.1053	1653.62s	0.000125
294	0.107501	0.105497	1642.99s	0.000125
295	0.107446	0.105593	1642.32s	0.000125
296	0.107509	0.105295	1640.42s	0.000125
297	0.10751	0.10579	1642.02s	0.000125
298	0.107432	0.105374	1644.42s	0.000125
299	0.107396	0.10509	1639.98s	0.000125
300	0.107407	0.105524	1640.15s	0.000125
301	0.107372	0.105795	1640.98s	0.000125
302	0.107401	0.10555	1643.39s	0.000125
303	0.107373	0.1052	1643.62s	0.000125
304	0.107427	0.105211	1644.16s	0.000125
305	0.107414	0.105469	1644.89s	0.000125
306	0.107321	0.105324	1643.93s	0.000125
307	0.107368	0.105367	1640.18s	0.000125
308	0.107425	0.105229	1640.63s	0.000125
309	0.107443	0.105019	1641.55s	0.000125
310	0.107362	0.105354	1640.31s	0.000125
311	0.107414	0.105767	1638.81s	0.000125
312	0.107325	0.10536	1641.91s	0.000125
313	0.107396	0.105219	1640.14s	0.000125
314	0.107364	0.105466	1638.97s	0.000125
315	0.107286	0.105477	1640.4s	0.000125
316	0.107347	0.105361	1640.91s	0.000125
317	0.107331	0.105484	1638.32s	0.000125
318	0.107393	0.105251	1642.08s	0.000125
319	0.107326	0.10511	1641.29s	0.000125
320	0.107327	0.105622	2199.61s	0.000125
321	0.107339	0.105317	1663.71s	0.000125
322	0.107281	0.105564	1639.18s	0.000125
323	0.10737	0.105171	1639.63s	0.000125
324	0.107433	0.105344	1637.98s	0.000125
325	0.107287	0.105248	1644.55s	0.000125
326	0.107344	0.105412	1640.05s	0.000125
327	0.107288	0.105336	1640.29s	0.000125
